concept_code,approved_cooking_novelty,approved_availability_georgia,approved_availability_tobias,approved_market_class_georgia,approved_market_class_tobias,availability_note_source,availability_note_override_georgia,availability_note_override_tobias,evidence_disposition,approval_status,source_review_head
COCKLES,3,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
CUTTLEFISH,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
DANABLU,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
DANBO,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
FLATBROD,3,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
JERK_SEASONING,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
KAFFIR_LIME_LEAVES,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
KASHMIRI_CHILI_POWDER,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
LOTUS_ROOT,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
MASA_HARINA,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_2,dbc8758a5da6b118f27a664a5a69e91c6982b935
