concept_code,approved_cooking_novelty,approved_availability_georgia,approved_availability_tobias,approved_market_class_georgia,approved_market_class_tobias,availability_note_source,availability_note_override_georgia,availability_note_override_tobias,evidence_disposition,approval_status,source_review_head
GRUYERE,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED; HUMAN_NOVELTY_RETAINED_2_AFTER_DISCUSSION,APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
ROQUEFORT,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED; HUMAN_NOVELTY_OVERRIDE_2_TO_3,APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
THAI_GREEN_CURRY_PASTE,2,EASY,EASY,GENERAL_LOCAL,GENERAL_LOCAL,OVERRIDE_EXACT,"Grüne Thai-Currypaste ist in gewöhnlichen großen Supermärkten regulär im Asia- oder internationalen Kochzutatenregal erhältlich; für Georgia ist dafür keine besondere Fahrt, Vorabrecherche oder Onlinebestellung nötig.","Grüne Thai-Currypaste ist in gewöhnlichen großen Supermärkten regulär im Asia- oder internationalen Kochzutatenregal erhältlich; für Tobias ist dafür keine besondere Fahrt, Vorabrecherche oder Onlinebestellung nötig.","Human novelty override 3 to 2 and availability override PLANNED to EASY for both profiles; current general-supermarket evidence supersedes the narrower Asiafoodland route as the primary market basis.",APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
THAI_RED_CURRY_PASTE,2,EASY,EASY,GENERAL_LOCAL,GENERAL_LOCAL,OVERRIDE_EXACT,"Rote Thai-Currypaste ist in gewöhnlichen großen Supermärkten regulär im Asia- oder internationalen Kochzutatenregal erhältlich; für Georgia ist dafür keine besondere Fahrt, Vorabrecherche oder Onlinebestellung nötig.","Rote Thai-Currypaste ist in gewöhnlichen großen Supermärkten regulär im Asia- oder internationalen Kochzutatenregal erhältlich; für Tobias ist dafür keine besondere Fahrt, Vorabrecherche oder Onlinebestellung nötig.","Human novelty override 3 to 2 and availability override PLANNED to EASY for both profiles; current general-supermarket evidence supersedes the narrower Asiafoodland route as the primary market basis.",APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
SILKEN_TOFU,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
SHIRATAKI,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
EDIBLE_SNAILS,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
DULSE,4,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Getrocknete Dulse ist über Naturkost-, Algen- und Feinkost-Fachhandel sowie spezialisierte Versandwege erhältlich; ein robuster gewöhnlicher Supermarktstandard ist nicht belegt.","Getrocknete Dulse ist über Naturkost-, Algen- und Feinkost-Fachhandel sowie spezialisierte Versandwege erhältlich; ein robuster gewöhnlicher Supermarktstandard ist nicht belegt.","Human novelty override 3 to 4 and availability override PLANNED to SPECIALTY for both profiles; the existing specialist/natural-food routes remain positive evidence but no longer support GENERAL_BROAD.",APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
SHIMEJI,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Frische Shimeji sind über breite Asia-Frischsortimente und spezialisierte Frischeversender erhältlich; ein belastbarer allgemeiner Supermarktweg für die exakte Pilzform ist nicht belegt.","Frische Shimeji sind über breite Asia-Frischsortimente und spezialisierte Frischeversender erhältlich; ein belastbarer allgemeiner Supermarktweg für die exakte Pilzform ist nicht belegt.","Human novelty override 2 to 3 and availability override PLANNED to SPECIALTY for both profiles; the former single Asia-frishipping route remains evidence of specialty availability.",APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
TURRON,4,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Turrón ist über spanischen beziehungsweise mediterranen Spezialhandel und entsprechende Versandhändler zuverlässig erhältlich, aber nicht als breiter allgemeiner deutscher Handelsstandard.","Turrón ist über spanischen beziehungsweise mediterranen Spezialhandel und entsprechende Versandhändler zuverlässig erhältlich, aber nicht als breiter allgemeiner deutscher Handelsstandard.","Human availability override PLANNED to SPECIALTY for both profiles; the existing Mitte-Meer evidence remains positive specialty evidence but no longer supports GENERAL_BROAD.",APPROVED_HUMAN_CHARGE_5,5086d98a191df34203f9969b5e9f8f7ccebb29ee
