concept_code,approved_cooking_novelty,approved_availability_georgia,approved_availability_tobias,approved_market_class_georgia,approved_market_class_tobias,availability_note_source,availability_note_override_georgia,availability_note_override_tobias,evidence_disposition,approval_status,source_review_head
AQUAVIT,4,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
BLACK_TEA,4,EASY,EASY,GENERAL_LOCAL,GENERAL_LOCAL,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
COCONUT_WATER,3,EASY,EASY,GENERAL_LOCAL,GENERAL_LOCAL,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED; HUMAN_NOVELTY_OVERRIDE_4_TO_3,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
FRUIT_DUMPLING,4,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
GAC_FRUIT,4,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
MEAT_ASPIC,4,EASY,EASY,GENERAL_LOCAL,GENERAL_LOCAL,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
NATA_DE_COCO,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED; HUMAN_NOVELTY_OVERRIDE_4_TO_3,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
STINKY_TOFU,4,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
READY_CURRY_PASTE,2,EASY,EASY,GENERAL_LOCAL,GENERAL_LOCAL,OVERRIDE_EXACT,"Fertige Currypaste ist als offene Familie mit regulär im gewöhnlichen Supermarkt erhältlichen zulässigen Konkretisierungen wie roter und grüner Thai-Currypaste spontan erfüllbar; eine besondere Fahrt oder Onlinebestellung ist nicht nötig.","Fertige Currypaste ist als offene Familie mit regulär im gewöhnlichen Supermarkt erhältlichen zulässigen Konkretisierungen wie roter und grüner Thai-Currypaste spontan erfüllbar; eine besondere Fahrt oder Onlinebestellung ist nicht nötig.","Human availability override PLANNED to EASY for both profiles. This is a concept-level assessment of the open requirement's directly available valid forms, not automatic parent/child inheritance.",APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
BEEF_LIVER,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_6,15ca5274027c492745d7a5445ed9390c55e34517
