concept_code,approved_cooking_novelty,approved_availability_georgia,approved_availability_tobias,approved_market_class_georgia,approved_market_class_tobias,availability_note_source,availability_note_override_georgia,availability_note_override_tobias,evidence_disposition,approval_status,source_review_head
GARLIC_CHIVES,3,SPECIALTY,DIFFICULT,SPECIALTY_BROAD,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
SAMBAL_BRANDAL,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
TARO,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
TOMATILLO,3,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
TROUT_ROE,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
TWAROG,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Twaróg: Für Georgia trägt der breite osteuropäische Spezialmarkt im Rheinland den Bezug; die gekühlte polnische Bruchkäseform bleibt an diesen Fachhandel gebunden und ist kein allgemeiner Handelsstandard.",,"Source rating and evidence accepted; only Georgia's availability note is corrected because the proposal accidentally described Tobias instead.",APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
VIETNAMESE_CORIANDER,3,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
WATER_SPINACH,3,DIFFICULT,DIFFICULT,NICHE_IMPORT,NICHE_IMPORT,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
YAM,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
BLACK_VINEGAR,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED; HUMAN_NOVELTY_OVERRIDE_2_TO_3,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
BONITO_FLAKES,2,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
GOCHUGARU,2,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
GALANGAL,2,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_3,116174c4f3fdd662b938a4d8cf1ee737f10e7c75
